time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,,
15.04591,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07547, 0.04114, 0.29493),(0.02503, 0.08830, 0.28779),(0.01794, 0.08029, 0.35463),(0.02278, 0.06693, 0.37294),(0.03156, 0.04299, 0.37390),(0.04667, 0.01968, 0.36398),
15.06229,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07542, 0.04064, 0.29544),(0.02606, 0.08819, 0.28880),(0.01810, 0.07965, 0.35474),(0.02129, 0.06585, 0.37182),(0.02976, 0.04197, 0.37265),(0.04512, 0.01890, 0.36326),
15.08445,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07544, 0.03997, 0.29556),(0.02729, 0.08815, 0.28928),(0.01874, 0.07957, 0.35465),(0.02045, 0.06531, 0.37068),(0.02823, 0.04121, 0.37117),(0.04352, 0.01817, 0.36212),
15.10076,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07544, 0.03941, 0.29570),(0.02740, 0.08764, 0.28947),(0.01879, 0.07904, 0.35477),(0.02037, 0.06474, 0.37071),(0.02809, 0.04063, 0.37117),(0.04338, 0.01760, 0.36216),
15.11899,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07544, 0.03941, 0.29570),(0.02740, 0.08764, 0.28947),(0.01879, 0.07904, 0.35477),(0.02037, 0.06474, 0.37071),(0.02809, 0.04063, 0.37117),(0.04338, 0.01760, 0.36216),
15.13048,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07556, 0.03925, 0.29542),(0.02841, 0.08735, 0.28958),(0.01956, 0.07962, 0.35431),(0.01960, 0.06504, 0.36937),(0.02648, 0.04105, 0.36939),(0.04193, 0.01799, 0.36109),
15.14559,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07594, 0.03924, 0.29562),(0.02926, 0.08726, 0.29002),(0.02050, 0.08014, 0.35456),(0.01992, 0.06552, 0.36928),(0.02654, 0.04163, 0.36925),(0.04201, 0.01845, 0.36123),
15.16212,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07586, 0.03896, 0.29534),(0.02955, 0.08678, 0.28995),(0.02081, 0.08016, 0.35433),(0.01954, 0.06552, 0.36860),(0.02608, 0.04182, 0.36864),(0.04171, 0.01865, 0.36095),
15.18254,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07602, 0.03843, 0.29526),(0.02999, 0.08621, 0.28972),(0.02128, 0.08014, 0.35416),(0.01968, 0.06553, 0.36838),(0.02616, 0.04190, 0.36859),(0.04171, 0.01852, 0.36098),
15.2046,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07616, 0.03796, 0.29518),(0.03014, 0.08574, 0.28964),(0.02143, 0.07969, 0.35407),(0.01982, 0.06507, 0.36829),(0.02629, 0.04145, 0.36850),(0.04184, 0.01807, 0.36090),
15.23829,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07654, 0.03815, 0.29497),(0.03003, 0.08534, 0.28921),(0.02186, 0.07997, 0.35386),(0.02025, 0.06546, 0.36809),(0.02686, 0.04192, 0.36838),(0.04263, 0.01859, 0.36091),
15.24527,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07659, 0.03809, 0.29494),(0.03008, 0.08529, 0.28918),(0.02191, 0.07992, 0.35383),(0.02030, 0.06540, 0.36806),(0.02691, 0.04187, 0.36836),(0.04268, 0.01853, 0.36088),
15.24954,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07659, 0.03809, 0.29494),(0.03008, 0.08529, 0.28918),(0.02191, 0.07992, 0.35383),(0.02030, 0.06540, 0.36806),(0.02691, 0.04187, 0.36836),(0.04268, 0.01853, 0.36088),
15.27878,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07649, 0.03880, 0.29485),(0.03042, 0.08644, 0.28838),(0.02190, 0.08132, 0.35322),(0.02060, 0.06706, 0.36787),(0.02731, 0.04360, 0.36849),(0.04294, 0.02010, 0.36103),
15.29866,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07671, 0.03875, 0.29468),(0.03066, 0.08636, 0.28813),(0.02203, 0.08122, 0.35293),(0.02079, 0.06705, 0.36761),(0.02756, 0.04364, 0.36827),(0.04322, 0.02018, 0.36083),
15.33089,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07685, 0.03901, 0.29462),(0.03094, 0.08673, 0.28795),(0.02216, 0.08160, 0.35265),(0.02093, 0.06752, 0.36732),(0.02771, 0.04416, 0.36805),(0.04337, 0.02075, 0.36068),
15.34833,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07688, 0.03893, 0.29434),(0.03103, 0.08672, 0.28756),(0.02200, 0.08148, 0.35213),(0.02082, 0.06745, 0.36680),(0.02766, 0.04411, 0.36758),(0.04334, 0.02075, 0.36027),
15.38095,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07689, 0.03887, 0.29369),(0.03065, 0.08641, 0.28685),(0.02165, 0.08114, 0.35118),(0.02088, 0.06719, 0.36609),(0.02784, 0.04377, 0.36685),(0.04357, 0.02046, 0.35951),
15.39776,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07689, 0.03887, 0.29369),(0.03065, 0.08641, 0.28685),(0.02165, 0.08114, 0.35118),(0.02088, 0.06719, 0.36609),(0.02784, 0.04377, 0.36685),(0.04357, 0.02046, 0.35951),
15.43037,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07651, 0.03850, 0.29256),(0.03007, 0.08512, 0.28603),(0.02089, 0.08089, 0.34941),(0.02009, 0.06714, 0.36409),(0.02712, 0.04304, 0.36477),(0.04320, 0.01996, 0.35792),
15.449,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07632, 0.03835, 0.29213),(0.02987, 0.08487, 0.28564),(0.02065, 0.08074, 0.34891),(0.01984, 0.06701, 0.36356),(0.02685, 0.04284, 0.36422),(0.04297, 0.01979, 0.35742),
15.48286,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07606, 0.03785, 0.29152),(0.02922, 0.08372, 0.28513),(0.02010, 0.08001, 0.34798),(0.01943, 0.06646, 0.36256),(0.02636, 0.04188, 0.36290),(0.04260, 0.01909, 0.35623),
15.49878,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07606, 0.03785, 0.29152),(0.02922, 0.08372, 0.28513),(0.02010, 0.08001, 0.34798),(0.01943, 0.06646, 0.36256),(0.02636, 0.04188, 0.36290),(0.04260, 0.01909, 0.35623),
15.51417,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07561, 0.03711, 0.29073),(0.02852, 0.08249, 0.28454),(0.01987, 0.07938, 0.34708),(0.01921, 0.06602, 0.36155),(0.02607, 0.04137, 0.36181),(0.04229, 0.01874, 0.35527),
15.52981,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07525, 0.03679, 0.29066),(0.02784, 0.08154, 0.28426),(0.01933, 0.07921, 0.34644),(0.01857, 0.06614, 0.36078),(0.02526, 0.04142, 0.36089),(0.04161, 0.01906, 0.35474),
15.54604,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07490, 0.03617, 0.29046),(0.02725, 0.08059, 0.28437),(0.01900, 0.07838, 0.34582),(0.01837, 0.06564, 0.36007),(0.02494, 0.04110, 0.36011),(0.04112, 0.01898, 0.35399),
15.56312,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07455, 0.03563, 0.29022),(0.02680, 0.07989, 0.28423),(0.01865, 0.07779, 0.34540),(0.01805, 0.06518, 0.35961),(0.02457, 0.04068, 0.35962),(0.04070, 0.01867, 0.35353),
15.57953,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07455, 0.03563, 0.29022),(0.02680, 0.07989, 0.28423),(0.01865, 0.07779, 0.34540),(0.01805, 0.06518, 0.35961),(0.02457, 0.04068, 0.35962),(0.04070, 0.01867, 0.35353),
15.59569,(NaN, NaN),(0.0, 0.0),,,,,,,,,,,,,,,,,,,(0.07301, 0.03344, 0.28924),(0.02291, 0.07403, 0.28420),(0.01634, 0.07417, 0.34273),(0.01606, 0.06240, 0.35605),(0.02309, 0.03810, 0.35575),(0.04017, 0.01808, 0.35100),
