time,touch,,button_pos,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
0.469062805175781,NaN, NaN,0.00000, 0.15000,-0.02231, -0.03559, 0.28775,0.02526, -0.04564, 0.32305,0.03056, 0.01743, 0.35763,0.01296, -0.00223, 0.37891,-0.00862, -0.06571, 0.33752,-0.02637, -0.06177, 0.33385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.47807502746582,NaN, NaN,0.00000, 0.15000,-0.02803, -0.02784, 0.28848,0.02250, -0.03446, 0.32252,0.02146, 0.02544, 0.35967,0.00756, -0.00329, 0.37809,-0.01256, -0.05145, 0.34846,-0.03226, -0.04939, 0.34293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.487957000732422,NaN, NaN,0.00000, 0.15000,-0.02803, -0.02784, 0.28848,0.02250, -0.03446, 0.32252,0.02146, 0.02544, 0.35967,0.00756, -0.00329, 0.37809,-0.01256, -0.05145, 0.34846,-0.03226, -0.04939, 0.34293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.496040344238281,NaN, NaN,0.00000, 0.15000,-0.03437, -0.02100, 0.28837,0.01909, -0.02423, 0.32155,0.01315, 0.03067, 0.36013,0.00002, 0.00421, 0.37658,-0.01885, -0.03266, 0.36082,-0.04082, -0.03476, 0.35122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.504510879516602,NaN, NaN,0.00000, 0.15000,-0.03437, -0.02100, 0.28837,0.01909, -0.02423, 0.32155,0.01315, 0.03067, 0.36013,0.00002, 0.00421, 0.37658,-0.01885, -0.03266, 0.36082,-0.04082, -0.03476, 0.35122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.513914108276367,NaN, NaN,0.00000, 0.15000,-0.04120, -0.01450, 0.28807,0.01521, -0.01594, 0.32020,0.00550, 0.03408, 0.36026,-0.00802, 0.01391, 0.37588,-0.02836, -0.01228, 0.36959,-0.05109, -0.02048, 0.35765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.522407531738281,NaN, NaN,0.00000, 0.15000,-0.04120, -0.01450, 0.28807,0.01521, -0.01594, 0.32020,0.00550, 0.03408, 0.36026,-0.00802, 0.01391, 0.37588,-0.02836, -0.01228, 0.36959,-0.05109, -0.02048, 0.35765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.531665802001953,NaN, NaN,0.00000, 0.15000,-0.04120, -0.01450, 0.28807,0.01521, -0.01594, 0.32020,0.00550, 0.03408, 0.36026,-0.00802, 0.01391, 0.37588,-0.02836, -0.01228, 0.36959,-0.05109, -0.02048, 0.35765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.540531158447266,NaN, NaN,0.00000, 0.15000,-0.05137, -0.00619, 0.28846,0.00962, -0.00600, 0.31916,-0.00599, 0.03946, 0.36190,-0.02257, 0.03325, 0.37846,-0.04814, 0.01952, 0.37861,-0.06712, -0.00299, 0.36436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.549449920654297,NaN, NaN,0.00000, 0.15000,-0.05137, -0.00619, 0.28846,0.00962, -0.00600, 0.31916,-0.00599, 0.03946, 0.36190,-0.02257, 0.03325, 0.37846,-0.04814, 0.01952, 0.37861,-0.06712, -0.00299, 0.36436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.558797836303711,NaN, NaN,0.00000, 0.15000,-0.05830, -0.00105, 0.28899,0.00519, -0.00024, 0.31923,-0.01400, 0.04426, 0.36295,-0.03460, 0.04843, 0.37942,-0.06390, 0.03843, 0.37964,-0.07867, 0.00752, 0.36733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.566984176635742,NaN, NaN,0.00000, 0.15000,-0.05830, -0.00105, 0.28899,0.00519, -0.00024, 0.31923,-0.01400, 0.04426, 0.36295,-0.03460, 0.04843, 0.37942,-0.06390, 0.03843, 0.37964,-0.07867, 0.00752, 0.36733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
