time,gaze,,touch,,l_palm,,,l_thumb,,,l_index,,,l_middle,,,l_ring,,,l_pinky,,,r_palm,,,r_thumb,,,r_index,,,r_middle,,,r_ring,,,r_pinky,,
547.4812,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06640, 0.01602, 0.30464,0.03098, -0.01264, 0.33744,0.01649, 0.01400, 0.37513,0.07323, -0.01506, 0.30918,0.08468, -0.00753, 0.30900,0.09361, 0.00157, 0.31369
547.4913,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06640, 0.01602, 0.30464,0.03098, -0.01264, 0.33744,0.01649, 0.01400, 0.37513,0.07323, -0.01506, 0.30918,0.08468, -0.00753, 0.30900,0.09361, 0.00157, 0.31369
547.5007,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.01658, 0.30385,0.02926, -0.01181, 0.33538,0.01657, 0.01331, 0.37420,0.07223, -0.01478, 0.30735,0.08394, -0.00756, 0.30741,0.09281, 0.00107, 0.31226
547.5096,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.01658, 0.30385,0.02926, -0.01181, 0.33538,0.01657, 0.01331, 0.37420,0.07223, -0.01478, 0.30735,0.08394, -0.00756, 0.30741,0.09281, 0.00107, 0.31226
547.5184,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06630, 0.01658, 0.30385,0.02926, -0.01181, 0.33538,0.01657, 0.01331, 0.37420,0.07223, -0.01478, 0.30735,0.08394, -0.00756, 0.30741,0.09281, 0.00107, 0.31226
547.5279,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06623, 0.01857, 0.30205,0.02743, -0.00865, 0.33257,0.01748, 0.01443, 0.37266,0.07111, -0.01309, 0.30459,0.08266, -0.00646, 0.30458,0.09178, 0.00179, 0.30956
547.5367,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06623, 0.01857, 0.30205,0.02743, -0.00865, 0.33257,0.01748, 0.01443, 0.37266,0.07111, -0.01309, 0.30459,0.08266, -0.00646, 0.30458,0.09178, 0.00179, 0.30956
547.5465,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06599, 0.02045, 0.30019,0.02622, -0.00616, 0.33015,0.01836, 0.01548, 0.37120,0.07030, -0.01153, 0.30224,0.08168, -0.00516, 0.30202,0.09105, 0.00295, 0.30705
547.5562,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06599, 0.02045, 0.30019,0.02622, -0.00616, 0.33015,0.01836, 0.01548, 0.37120,0.07030, -0.01153, 0.30224,0.08168, -0.00516, 0.30202,0.09105, 0.00295, 0.30705
547.5651,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06547, 0.02234, 0.29811,0.02500, -0.00413, 0.32778,0.01958, 0.01634, 0.36988,0.06963, -0.00990, 0.29988,0.08086, -0.00362, 0.29939,0.09035, 0.00450, 0.30434
547.5759,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06547, 0.02234, 0.29811,0.02500, -0.00413, 0.32778,0.01958, 0.01634, 0.36988,0.06963, -0.00990, 0.29988,0.08086, -0.00362, 0.29939,0.09035, 0.00450, 0.30434
547.5838,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06438, 0.02403, 0.29591,0.02340, -0.00297, 0.32518,0.02030, 0.01656, 0.36836,0.06880, -0.00837, 0.29735,0.07994, -0.00206, 0.29668,0.08943, 0.00614, 0.30159
547.5941,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06438, 0.02403, 0.29591,0.02340, -0.00297, 0.32518,0.02030, 0.01656, 0.36836,0.06880, -0.00837, 0.29735,0.07994, -0.00206, 0.29668,0.08943, 0.00614, 0.30159
547.6024,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06308, 0.02608, 0.29340,0.02139, -0.00093, 0.32220,0.02050, 0.01802, 0.36637,0.06722, -0.00655, 0.29455,0.07843, -0.00036, 0.29377,0.08803, 0.00781, 0.29870
547.6125,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06308, 0.02608, 0.29340,0.02139, -0.00093, 0.32220,0.02050, 0.01802, 0.36637,0.06722, -0.00655, 0.29455,0.07843, -0.00036, 0.29377,0.08803, 0.00781, 0.29870
547.6217,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06169, 0.02861, 0.29049,0.01883, 0.00192, 0.31858,0.02023, 0.02063, 0.36386,0.06501, -0.00445, 0.29146,0.07645, 0.00154, 0.29057,0.08622, 0.00955, 0.29551
547.6316,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06169, 0.02861, 0.29049,0.01883, 0.00192, 0.31858,0.02023, 0.02063, 0.36386,0.06501, -0.00445, 0.29146,0.07645, 0.00154, 0.29057,0.08622, 0.00955, 0.29551
547.6406,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06018, 0.03115, 0.28715,0.01584, 0.00474, 0.31460,0.01966, 0.02355, 0.36076,0.06247, -0.00237, 0.28836,0.07426, 0.00348, 0.28729,0.08417, 0.01131, 0.29214
547.6506,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06018, 0.03115, 0.28715,0.01584, 0.00474, 0.31460,0.01966, 0.02355, 0.36076,0.06247, -0.00237, 0.28836,0.07426, 0.00348, 0.28729,0.08417, 0.01131, 0.29214
547.6592,NaN, NaN,NaN, NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06018, 0.03115, 0.28715,0.01584, 0.00474, 0.31460,0.01966, 0.02355, 0.36076,0.06247, -0.00237, 0.28836,0.07426, 0.00348, 0.28729,0.08417, 0.01131, 0.29214
